index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024570.1,1,1450,1,1323,91.2414,0.912414,16.5,1,562,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,0.912413793103448,0.282789701001475,0.309935802306984,0.01,HAM-22-MGE-S44
2,NR_025514.1,1,1518,289,1510,99.473,271.889,19.4,28.8,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,271.889328063241,46.3102190914387,0.170327461623161,2.56,HAM-22-MGE-S44
3,NR_025525.1,1,1475,1,1419,96.2034,0.962034,23.3,53,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,0.962033898305085,0.191179120484649,0.198723891976644,0.01,HAM-22-MGE-S44
4,NR_025567.1,1,1498,4,1453,96.996,3.76435,20.6,12.2,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,3.76435246995995,0.756100295316079,0.200857996521278,0.04,HAM-22-MGE-S44
5,NR_025569.1,1,1494,3,1464,97.992,2.82195,16.8,0.333,208962,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,2.82195448460509,0.52572145619232,0.18629692968485,0.03,HAM-22-MGE-S44
6,NR_025796.1,1,1435,2,1383,96.3763,1.8453,18.9,1,259063,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,1.84529616724739,0.450983544038658,0.244396293691644,0.02,HAM-22-MGE-S44
7,NR_026100.1,1,1499,6,1447,96.531,5.67979,21.2,1.67,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,5.67978652434957,1.14569418899262,0.201714304592428,0.05,HAM-22-MGE-S44
8,NR_026312.1,1,1482,4,1370,92.4426,3.39811,18,12,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,3.39811066126856,1.12581719433716,0.331306807388338,0.04,HAM-22-MGE-S44
9,NR_026330.1,1,1474,1,1420,96.3365,0.963365,21.6,8,53442,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium callanderi,0.963364993215739,0.187927759866602,0.195074308481248,0.01,HAM-22-MGE-S44
10,NR_026331.1,1,1488,741,1488,100,705.325,19.4,2.32,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,705.324596774194,92.9155498721379,0.131734452898832,6.56,HAM-22-MGE-S44
11,NR_026332.1,1,1487,6045,1487,100,5771.28,19.9,31.3,622,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,5771.27975790182,750.862414712712,0.13010327799214,53.5,HAM-22-MGE-S44
12,NR_026409.1,1,1495,3,1453,97.1906,2.77124,19.1,1.67,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,2.77123745819398,0.601071784088003,0.216896528412156,0.03,HAM-22-MGE-S44
13,NR_026493.1,1,1488,3,1454,97.7151,2.85484,20.3,1,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,2.85483870967742,0.515166847236056,0.180453923890596,0.03,HAM-22-MGE-S44
14,NR_027549.1,1,1473,109,1458,98.9817,102.626,18.3,3.7,585054,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,102.625933469111,14.2318460197096,0.138676897141142,0.96,HAM-22-MGE-S44
16,NR_028726.1,1,1502,2,1445,96.2051,1.85353,19.2,1,94868,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora algidixylanolytica,1.85352862849534,0.448386178870827,0.241909497364936,0.02,HAM-22-MGE-S44
17,NR_028862.1,1,1537,15,1494,97.2023,14.1379,19.4,59.2,209880,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,14.1379310344828,2.53757679233782,0.179487138970236,0.13,HAM-22-MGE-S44
