index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
1,NR_025230.1,1,1411,6,1403,99.433,5.42877,18.9,1,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,5.42877391920624,0.970337288321202,0.178739675433579,0.07,KUB-48-MGE-S124
2,NR_025514.1,1,1518,444,1508,99.3412,414.954,19.5,34,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,414.953886693017,70.3073053572498,0.169434020530727,4.95,KUB-48-MGE-S124
3,NR_025525.1,1,1475,1,1420,96.2712,0.962712,21.3,60,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,0.96271186440678,0.189531223002413,0.19687222107645,0.01,KUB-48-MGE-S124
4,NR_025567.1,1,1498,25,1460,97.4633,23.3625,19.9,7.16,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,23.3624833110814,4.3212800530996,0.184966640556139,0.28,KUB-48-MGE-S124
5,NR_025863.1,1,1411,1,1334,94.5429,0.945429,19.3,60,46125,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,0.945428773919206,0.227221914198525,0.240337421989594,0.01,KUB-48-MGE-S124
6,NR_025981.1,1,1477,5,1450,98.172,4.50102,17.9,1.6,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,4.50101557210562,1.10285674765806,0.245023979586485,0.06,KUB-48-MGE-S124
7,NR_026100.1,1,1499,30,1449,96.6644,28.2155,20.2,1.83,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,28.2154769846564,5.54911321738015,0.196669126678162,0.33,KUB-48-MGE-S124
8,NR_026106.1,1,1489,1,1099,73.8079,0.738079,17.1,25,29322,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,[Eubacterium] cellulosolvens,0.738079247817327,0.439827454750294,0.595908171176695,0.01,KUB-48-MGE-S124
9,NR_026312.1,1,1482,1,1099,74.1565,0.741565,16.9,17,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,0.741565452091768,0.437921837262174,0.590536999838528,0.01,KUB-48-MGE-S124
10,NR_026330.1,1,1474,1,1382,93.7585,0.937585,17.7,12,53442,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium callanderi,0.937584803256445,0.241990223133192,0.25809955781355,0.01,KUB-48-MGE-S124
