index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_025127.1,1,1453,1,1368,94.15,0.9415,20.1,1,140626,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lachnobacterium,Lachnobacterium bovis,0.941500344115623,0.234766646419868,0.249353755298296,0.01,MAR-48-MGE-S40
1,NR_025230.1,1,1411,16,1408,99.7874,14.9185,18.1,1.19,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,14.9184975194897,2.02250234984677,0.135570110006356,0.24,MAR-48-MGE-S40
2,NR_025514.1,1,1518,432,1508,99.3412,405.165,19.4,35.1,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,405.16534914361,69.1858554582826,0.170759556819257,6.36,MAR-48-MGE-S40
3,NR_025518.1,1,1494,1270,1465,98.0589,1173.07,19.3,40.9,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,1173.0655957162,255.84621235193,0.218100516532264,18.69,MAR-48-MGE-S40
4,NR_025567.1,1,1498,9,1456,97.1963,8.41522,18.8,8.56,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,8.41522029372497,1.62514743738998,0.193120011201824,0.13,MAR-48-MGE-S40
5,NR_025569.1,1,1494,1,1411,94.4444,0.944444,16.2,10,208962,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,0.944444444444444,0.229138122600746,0.242616835694908,0.01,MAR-48-MGE-S40
6,NR_025796.1,1,1435,3,1344,93.6585,2.70523,19.7,7,259063,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,2.70522648083624,0.780833335816284,0.288638803940332,0.04,MAR-48-MGE-S40
7,NR_025981.1,1,1477,2,1412,95.5992,1.80636,19,1,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,1.80636425186188,0.494290008485042,0.273638059419942,0.03,MAR-48-MGE-S40
8,NR_026075.1,1,1468,10,1418,96.594,8.18801,17.5,15.1,13335,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,8.18801089918256,2.97090056461734,0.362835443332634,0.15,MAR-48-MGE-S40
9,NR_026100.1,1,1499,2,1444,96.3309,1.8539,18.8,1,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,1.85390260173449,0.445272354647115,0.240181093780506,0.03,MAR-48-MGE-S40
