index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_025127.1,1,1453,1,1322,90.9842,0.909842,13.1,1,140626,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lachnobacterium,Lachnobacterium bovis,0.909841706813489,0.28650701508314,0.314897649709382,0.02,GIN-58-MGE-S42
1,NR_025230.1,1,1411,30,1411,100,28.2594,19.6,1.5,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,28.2593905031892,3.34187519830052,0.118257157666701,0.53,GIN-58-MGE-S42
2,NR_025514.1,1,1518,625,1508,99.3412,587.159,19.4,33.1,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,587.158761528327,99.7780620184913,0.169933702017453,11.07,GIN-58-MGE-S42
3,NR_025567.1,1,1498,22,1455,97.1295,20.7143,19.6,7,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,20.7142857142857,3.83752472946317,0.185259814525808,0.39,GIN-58-MGE-S42
4,NR_025796.1,1,1435,3,1392,97.0035,2.72822,18.5,5.33,259063,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,2.72822299651568,0.675330885706453,0.24753507560377,0.05,GIN-58-MGE-S42
5,NR_025981.1,1,1477,1,1392,94.2451,0.942451,19.5,9,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,0.942450914014895,0.232967668894592,0.247193424538299,0.02,GIN-58-MGE-S42
6,NR_026100.1,1,1499,3,1445,96.3976,2.80854,19,1,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,2.80853902601735,0.616880206006592,0.21964451990591,0.05,GIN-58-MGE-S42
7,NR_026409.1,1,1495,1,1405,93.9799,0.939799,18.3,1,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,0.939799331103679,0.237937843850797,0.253179413919531,0.02,GIN-58-MGE-S42
8,NR_027557.1,1,1482,1,1263,85.2227,0.852227,14.1,1,536231,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Roseburia,Roseburia intestinalis,0.852226720647773,0.354994889999325,0.416549823419636,0.02,GIN-58-MGE-S42
9,NR_028726.1,1,1502,3,1447,96.3382,2.72969,16.9,1,94868,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora algidixylanolytica,2.72969374167776,0.66923229014695,0.245167536536761,0.05,GIN-58-MGE-S42
