index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_025230.1,1,1411,4,1396,98.9369,3.55776,19.5,10.2,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,3.55776045357902,0.820846528547133,0.230720010314742,0.94,KOR-49-MGE-S134
1,NR_025514.1,1,1518,18,1486,97.892,16.9289,19.1,34.4,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,16.9288537549407,2.97698446806395,0.175852689801583,4.25,KOR-49-MGE-S134
2,NR_025567.1,1,1498,2,1449,96.729,1.90988,22.4,6,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,1.90987983978638,0.384080140103797,0.201101730120758,0.47,KOR-49-MGE-S134
3,NR_025569.1,1,1494,1,1396,93.4404,0.934404,16.9,6,208962,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,0.934404283801874,0.247656963849577,0.265042624635579,0.24,KOR-49-MGE-S134
4,NR_026331.1,1,1488,27,1465,98.4543,25.0733,19.3,7.56,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,25.073252688172,3.54194915326247,0.141264047282279,6.37,KOR-49-MGE-S134
5,NR_027549.1,1,1473,1,1073,72.8445,0.728445,17,0,585054,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,0.728445349626612,0.444912469904808,0.610769867818996,0.24,KOR-49-MGE-S134
6,NR_028862.1,1,1537,8,1494,97.2023,7.54392,19.9,59,209880,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,7.54391672088484,1.39691009961035,0.185170403027263,1.89,KOR-49-MGE-S134
7,NR_029097.1,1,1374,16,1322,96.2154,14.0771,20.4,1,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,14.0771470160116,3.49318579369829,0.248145862917043,3.77,KOR-49-MGE-S134
8,NR_040877.1,1,1494,1,997,66.7336,0.667336,13.8,1,537011,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri,0.667336010709505,0.471325102797289,0.706278539196739,0.24,KOR-49-MGE-S134
9,NR_041342.1,1,1488,5,1455,97.7823,4.2621,19.2,8,823,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,4.26209677419355,1.09033235867028,0.255820648013462,1.18,KOR-49-MGE-S134
10,NR_041343.1,1,1492,6,1467,98.3244,5.55362,18.9,51.7,46503,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,5.55361930294906,1.03549042148506,0.186453259577083,1.42,KOR-49-MGE-S134
11,NR_041446.1,1,1456,1,1126,77.3352,0.773352,19.7,37,376804,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola barnesiae,0.773351648351648,0.418807047368017,0.541548011516725,0.24,KOR-49-MGE-S134
12,NR_041590.1,1,1342,30,1290,96.1252,27.0596,20,19.1,742816,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis,27.0596125186289,6.13599488735533,0.226758416556448,7.08,KOR-49-MGE-S134
