index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_025230.1,1,1411,15,1407,99.7165,13.922,31.8,4.67,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,13.9220411055989,1.85530187591977,0.133263640140643,0.1,BUD-11-MGE-S206
1,NR_025514.1,1,1518,224,1508,99.3412,211.646,31.4,30.5,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,211.646245059289,35.8050739159382,0.169174151452147,1.49,BUD-11-MGE-S206
2,NR_025518.1,1,1494,284,1464,97.992,266.701,35,49.8,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,266.700803212851,57.8856140402539,0.217043268497605,1.89,BUD-11-MGE-S206
3,NR_025567.1,1,1498,39,1455,97.1295,37.2116,34.4,12.2,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,37.2116154873164,6.76170984542726,0.181709655893117,0.26,BUD-11-MGE-S206
4,NR_025569.1,1,1494,4,1464,97.992,3.61981,26.1,1,208962,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,3.61981258366801,0.801059892134135,0.221298720201257,0.03,BUD-11-MGE-S206
5,NR_025796.1,1,1435,1,1357,94.5645,0.945645,34.9,1,259063,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,0.945644599303136,0.226796683236217,0.239832896421497,0.01,BUD-11-MGE-S206
6,NR_025863.1,1,1411,2,1381,97.8738,1.87385,29.4,60,46125,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Abiotrophia,Abiotrophia defectiva,1.87384833451453,0.390984394623907,0.208653169748235,0.01,BUD-11-MGE-S206
7,NR_025904.1,1,1536,1,1452,94.5312,0.945312,38.6,18,29391,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Bacillales,unclassified Bacillales family,Gemella,Gemella morbillorum,0.9453125,0.227443302882408,0.240601179908663,0.01,BUD-11-MGE-S206
8,NR_025981.1,1,1477,3,1396,94.5159,2.75559,35.4,6.67,831,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,2.75558564658091,0.747519121043071,0.271274138029635,0.02,BUD-11-MGE-S206
9,NR_026030.1,1,1466,1,1448,98.7722,0.987722,31.8,1,51048,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus porcinus,0.987721691678036,0.110162741699918,0.111532168047016,0.01,BUD-11-MGE-S206
10,NR_026075.1,1,1468,1,1391,94.7548,0.947548,35.4,1,13335,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,0.947547683923706,0.223013340426678,0.235358435475459,0.01,BUD-11-MGE-S206
11,NR_026100.1,1,1499,54,1469,97.9987,51.4917,36.3,1.76,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,51.4916611074049,9.78836963353305,0.190096210202188,0.36,BUD-11-MGE-S206
12,NR_026312.1,1,1482,3,1369,92.3752,2.60256,31.9,10.3,180164,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia schinkii,2.6025641025641,0.848762954308516,0.32612566717273,0.02,BUD-11-MGE-S206
13,NR_026331.1,1,1488,1553,1488,100,1509.71,36.8,11.9,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,1509.70698924731,190.580623199245,0.126236829104343,10.32,BUD-11-MGE-S206
14,NR_026332.1,1,1487,7,1464,98.4533,6.54338,29.2,8.29,622,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,6.54337592468057,1.00166491714057,0.153080753523949,0.05,BUD-11-MGE-S206
15,NR_026409.1,1,1495,18,1460,97.6589,17.2515,34.1,3,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,17.2515050167224,3.00172129486897,0.173997647855031,0.12,BUD-11-MGE-S206
16,NR_026476.1,1,1463,2,1422,97.1975,1.82638,39,1.5,83771,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,1.82638414217362,0.446832270602797,0.244654046366726,0.01,BUD-11-MGE-S206
17,NR_026493.1,1,1488,5,1452,97.5806,4.76546,34.5,3.4,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,4.76545698924731,0.819707038899627,0.172010164135192,0.03,BUD-11-MGE-S206
18,NR_027549.1,1,1473,76,1473,100,72.1399,33,6.74,585054,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,72.1398506449423,10.6690325052107,0.147893742637776,0.51,BUD-11-MGE-S206
19,NR_028664.1,1,1520,1,1441,94.8026,0.948026,36.5,0,28037,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mitis,0.948026315789474,0.222046971982363,0.234220261910612,0.01,BUD-11-MGE-S206
