index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_024815.1,1,1490,5,1462,98.1208,4.80738,36.5,22.2,228603,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella shahii,4.80738255033557,0.844417846185497,0.175650229068322,0.08,IRI-23-MGE-S141
1,NR_025230.1,1,1411,15,1408,99.7874,14.6471,38.5,0.867,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,14.6470588235294,1.47418334024327,0.100647055357974,0.25,IRI-23-MGE-S141
2,NR_025514.1,1,1518,38,1486,97.892,36.0165,35.9,26.7,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,36.0164690382082,6.29564876124876,0.174799166308335,0.64,IRI-23-MGE-S141
3,NR_025518.1,1,1494,1,1439,96.3186,0.963186,41,31,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,0.963186077643909,0.188367745155267,0.195567346255711,0.02,IRI-23-MGE-S141
4,NR_025525.1,1,1475,3,1438,97.4915,2.9078,38.7,57,185008,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Butyrivibrio,Butyrivibrio hungatei,2.90779661016949,0.48969041460852,0.168406006422842,0.05,IRI-23-MGE-S141
5,NR_025567.1,1,1498,11,1453,96.996,10.4953,37.6,12.2,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,10.4953271028037,1.95958962782996,0.186710676917013,0.19,IRI-23-MGE-S141
6,NR_026100.1,1,1499,7,1446,96.4643,6.72582,40.3,1.43,1286362,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora celerecrescens,6.72581721147432,1.2996638350189,0.193235081203465,0.12,IRI-23-MGE-S141
7,NR_026330.1,1,1474,1,1437,97.4898,0.974898,42.8,19,53442,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium callanderi,0.974898236092266,0.156487312082415,0.160516560897342,0.02,IRI-23-MGE-S141
8,NR_026409.1,1,1495,1,1425,95.3177,0.953177,30.3,1,29370,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora sphenoides,0.953177257525084,0.211329710018532,0.221710818580845,0.02,IRI-23-MGE-S141
9,NR_026493.1,1,1488,4,1454,97.7151,3.8871,39.2,5.25,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,3.88709677419355,0.619690498092424,0.159422451791412,0.07,IRI-23-MGE-S141
10,NR_029097.1,1,1374,160,1322,96.2154,150.38,37.2,1.49,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,150.379912663755,32.4050710155574,0.215488029229104,2.7,IRI-23-MGE-S141
