index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
0,NR_025230.1,1,1411,10,1408,99.7874,9.10773,17.9,4,187326,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera micronuciformis,9.10772501771793,1.24843896776975,0.137074732201628,0.23,GRO-24-MGE-S46
1,NR_025514.1,1,1518,267,1506,99.2095,251.031,19.4,33.2,158847,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas hypermegale,251.030961791831,42.6942769232736,0.170075741328984,6.11,GRO-24-MGE-S46
2,NR_025518.1,1,1494,917,1464,97.992,845.893,19.4,40.3,179995,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum thomasii,845.892904953146,184.290941943747,0.217865572420133,20.98,GRO-24-MGE-S46
3,NR_025567.1,1,1498,8,1455,97.1295,7.58211,21.3,7.38,208479,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,7.58210947930574,1.43121058904597,0.18876153040948,0.18,GRO-24-MGE-S46
4,NR_025569.1,1,1494,2,1462,97.8581,1.91968,19.4,0.5,208962,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii,1.91967871485944,0.341739615826935,0.178019172261311,0.05,GRO-24-MGE-S46
5,NR_025796.1,1,1435,1,1335,93.0314,0.930314,14.9,1,259063,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna jejuensis,0.930313588850174,0.254706546060382,0.273785688087377,0.02,GRO-24-MGE-S46
6,NR_026075.1,1,1468,5,1417,96.5259,4.31063,16.4,19.4,13335,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,4.31062670299728,1.16771913480958,0.270893124194132,0.11,GRO-24-MGE-S46
7,NR_026106.1,1,1489,1,1293,86.8368,0.868368,17.2,1,29322,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,[Eubacterium] cellulosolvens,0.8683680322364,0.338203800537199,0.389470579272923,0.02,GRO-24-MGE-S46
8,NR_026331.1,1,1488,267,1488,100,255.016,19.8,6.85,623,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,255.016129032258,33.1889053510602,0.130144338230708,6.11,GRO-24-MGE-S46
9,NR_026332.1,1,1487,5,1463,98.386,4.69401,17.3,0.8,622,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,4.69401479488904,0.781592023565892,0.166508214762533,0.11,GRO-24-MGE-S46
10,NR_026476.1,1,1463,5,1422,97.1975,4.54204,17.8,2.6,83771,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,4.54203691045796,1.03004280853719,0.226779929103071,0.11,GRO-24-MGE-S46
11,NR_026493.1,1,1488,2,1452,97.5806,1.89919,19.3,10,69825,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lacrimispora,Lacrimispora indolis,1.8991935483871,0.372994779796253,0.196396402100787,0.05,GRO-24-MGE-S46
12,NR_027549.1,1,1473,17,1463,99.3211,15.7923,19.2,1.65,585054,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia fergusonii,15.7922606924644,2.57238044413819,0.162888676563303,0.39,GRO-24-MGE-S46
13,NR_028812.1,1,1408,2,1372,97.4432,1.74645,16.4,6.5,156456,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Anaeroglobus,Anaeroglobus geminatus,1.74644886363636,0.490479541624402,0.280843918099698,0.05,GRO-24-MGE-S46
14,NR_028862.1,1,1537,9,1521,98.959,8.45804,18.3,59.6,209880,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Allisonella,Allisonella histaminiformans,8.45803513337671,1.46165023080159,0.172812031134003,0.21,GRO-24-MGE-S46
15,NR_029097.1,1,1374,91,1327,96.5793,83.2329,19.6,1.93,237576,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Oribacterium,Oribacterium sinus,83.2328966521106,18.5056333438273,0.222335567884601,2.08,GRO-24-MGE-S46
16,NR_029207.1,1,1426,1,1056,74.0533,0.740533,20.6,1,907,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,0.740532959326788,0.438495990060212,0.592135683547218,0.02,GRO-24-MGE-S46
17,NR_037088.1,1,1453,2,1431,98.4859,1.91879,18.7,5.5,76122,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Alloprevotella tannerae,1.91878871300757,0.32399140821909,0.168852050266262,0.05,GRO-24-MGE-S46
18,NR_040877.1,1,1494,3,1455,97.3896,2.71419,17.3,1,537011,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri,2.71419009370817,0.639699763181912,0.235687163056418,0.07,GRO-24-MGE-S46
19,NR_041313.1,1,1485,1,1365,91.9192,0.919192,17.8,60,338188,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides finegoldii,0.919191919191919,0.272631963525436,0.296599608670529,0.02,GRO-24-MGE-S46
